
Date,"Flight number",From,To,"Dep time","Arr time",Duration,Airline,Aircraft,Registration,"Seat number","Seat type","Flight class","Flight reason",Note,Dep_id,Arr_id,Airline_id,Aircraft_id
2024-12-28,AA2785,"Las Vegas / McCarran (LAS/KLAS)","Los Angeles / Los Angeles International (LAX/KLAX)",18:00:00,19:17:00,01:17:00,"American Airlines (AA/AAL)","Airbus A321neo (A21N)",N418AN,4A,1,2,1,,1557,1559,4,2128
2024-12-26,AA3197,"Los Angeles / Los Angeles International (LAX/KLAX)","Las Vegas / McCarran (LAS/KLAS)",19:45:00,21:00:00,01:15:00,"American Airlines (AA/AAL)","Airbus A321 (A321)",N919US,3A,1,2,1,,1559,1557,4,28
2024-12-26,LH452,"Munich / Franz Josef Strauss (MUC/EDDM)","Los Angeles / Los Angeles International (LAX/KLAX)",12:00:00,15:15:00,12:15:00,"Lufthansa (LH/DLH)","Airbus A380-800 (A388)",D-AIMC,2K,1,3,1,,1952,1559,239,39
2024-12-30,LH457,"Los Angeles / Los Angeles International (LAX/KLAX)","Frankfurt am Main / Frankfurt (FRA/EDDF)",15:05:00,11:00:00,10:55:00,"Lufthansa (LH/DLH)","Boeing 747-8 (B748)",D-ABYQ,3A,1,3,1,,1559,919,239,2104
2024-12-31,LH106,"Frankfurt am Main / Frankfurt (FRA/EDDF)","Munich / Franz Josef Strauss (MUC/EDDM)",13:15:00,14:10:00,00:55:00,"Lufthansa (LH/DLH)","Boeing 787-9 (B789)",D-ABPA,,1,2,1,,919,1952,239,2088
2024-12-22,LH1190,"Frankfurt am Main / Frankfurt (FRA/EDDF)","Zurich / Kloten (ZRH/LSZH)",12:50:00,13:45:00,00:55:00,"Lufthansa (LH/DLH)","Bombardier CRJ-900 (CRJ9)",D-ACNB,,1,1,1,,919,3548,239,531
2024-12-21,LH1191,"Zurich / Kloten (ZRH/LSZH)","Frankfurt am Main / Frankfurt (FRA/EDDF)",14:45:00,15:50:00,01:05:00,"Lufthansa (LH/DLH)","Airbus A320 (A320)",D-AIZR,,1,1,1,,3548,919,239,27
2024-11-24,LX1069,"Frankfurt am Main / Frankfurt (FRA/EDDF)","Zurich / Kloten (ZRH/LSZH)",09:05:00,10:05:00,01:00:00,"Swiss International Airlines (LX/SWR)","Embraer Embraer E195-E2 (E295)",HB-AZC,,1,1,1,,919,3548,741,2147
2024-11-22,LH1197,"Zurich / Kloten (ZRH/LSZH)","Frankfurt am Main / Frankfurt (FRA/EDDF)",18:05:00,19:10:00,01:05:00,"Lufthansa (LH/DLH)","Airbus A321-200 (A321)",D-AIRY,,1,1,1,,3548,919,239,2076
2024-09-16,LH1186,"Frankfurt am Main / Frankfurt (FRA/EDDF)","Zurich / Kloten (ZRH/LSZH)",09:45:00,10:40:00,00:55:00,"Lufthansa (LH/DLH)","Airbus A319neo (A19N)",D-AILN,,1,1,1,,919,3548,239,2126
2024-09-15,LH77,"Dusseldorf / Dusseldorf International (DUS/EDDL)","Frankfurt am Main / Frankfurt (FRA/EDDF)",10:35:00,11:30:00,00:55:00,"Lufthansa (LH/DLH)","Airbus A320 (A320)",D-AIZA,,1,1,1,,763,919,239,27
2024-09-14,EW9763,"Zurich / Kloten (ZRH/LSZH)","Dusseldorf / Dusseldorf International (DUS/EDDL)",09:09:00,10:26:00,01:17:00,"Eurowings (EW/EWG)","Airbus A319 (A319)",D-AGWY,,1,1,1,,3548,763,282,26
2024-06-01,LX1072,"Zurich / Kloten (ZRH/LSZH)","Frankfurt am Main / Frankfurt (FRA/EDDF)",13:06:00,14:05:00,00:59:00,"Swiss International Airlines (LX/SWR)","Embraer E190-E2 (E290)",HB-JVY,,1,1,1,,3548,919,741,2139
2024-06-02,LX1069,"Frankfurt am Main / Frankfurt (FRA/EDDF)","Zurich / Kloten (ZRH/LSZH)",09:05:00,10:05:00,01:00:00,"Swiss International Airlines (LX/SWR)","Embraer Embraer E195-E2 (E295)",HB-AZK,,1,1,1,,919,3548,741,2147
